('http://www.songlyrics.com/darius-rucker/i-got-nothin-lyrics/', '2011')
('http://www.songlyrics.com/kreayshawn/gucci-gucci-lyrics/', '2011')
('http://www.songlyrics.com/ronnie-dunn/cost-of-livin-lyrics/', '2011')
('http://www.songlyrics.com/matt-nathanson/faster-lyrics/', '2011')
('http://www.songlyrics.com/craig-campbell/fish-lyrics/', '2011')
('http://www.songlyrics.com/billy-currington/love-done-gone-lyrics/', '2011')
('http://www.songlyrics.com/thompson-square/i-got-you-lyrics/', '2011')
('http://www.songlyrics.com/tyga/far-away-lyrics/', '2011')
('http://www.songlyrics.com/david-nail/let-it-rain-lyrics/', '2011')
('http://www.songlyrics.com/sean-paul/got-2-luv-u-lyrics/', '2011')
('http://www.songlyrics.com/foo-fighters/walk-lyrics/', '2011')
('http://www.songlyrics.com/adele/set-fire-to-the-rain-lyrics/', '2011')
('http://www.songlyrics.com/eric-church/drink-in-my-hand-lyrics/', '2011')
('http://www.songlyrics.com/lil-wayne/blunt-blowin-lyrics/', '2011')
('http://www.songlyrics.com/chris-brown/beautiful-people-lyrics/', '2011')
('http://www.songlyrics.com/ace-hood/body-2-body-lyrics/', '2011')
('http://www.songlyrics.com/demi-lovato/unbroken-lyrics/', '2011')
('http://www.songlyrics.com/keha/tik-tok-lyrics/', '2010')
('http://www.songlyrics.com/train/hey-soul-sister-lyrics/', '2010')
('http://www.songlyrics.com/lady-antebellum/need-you-now-lyrics/', '2010')
('http://www.songlyrics.com/b-o-b/airplanes-lyrics/', '2010')
('http://www.songlyrics.com/katy-perry/california-gurls-lyrics/', '2010')
('http://www.songlyrics.com/usher/omg-lyrics/', '2010')
('http://www.songlyrics.com/lady-gaga/bad-romance-lyrics/', '2010')
('http://www.songlyrics.com/taio-cruz/dynamite-lyrics/', '2010')
('http://www.songlyrics.com/eminem/love-the-way-you-lie-lyrics/', '2010')
('http://www.songlyrics.com/taio-cruz/break-your-heart-lyrics/', '2010')
('http://www.songlyrics.com/jason-derulo/in-my-head-lyrics/', '2010')
('http://www.songlyrics.com/bruno-mars/just-the-way-you-are-lyrics/', '2010')
('http://www.songlyrics.com/enrique-iglesias/i-like-it-lyrics/', '2010')
('http://www.songlyrics.com/katy-perry/teenage-dream-lyrics/', '2010')
('http://www.songlyrics.com/black-eyed-peas/imma-be-lyrics/', '2010')
('http://www.songlyrics.com/young-money/bedrock-lyrics/', '2010')
('http://www.songlyrics.com/mike-posner/cooler-than-me-lyrics/', '2010')
('http://www.songlyrics.com/b-o-b/nothin-on-you-lyrics/', '2010')
('http://www.songlyrics.com/lady-gaga/telephone-lyrics/', '2010')
('http://www.songlyrics.com/rihanna/rude-boy-lyrics/', '2010')
('http://www.songlyrics.com/travie-mccoy/billionaire-lyrics/', '2010')
('http://www.songlyrics.com/usher/dj-got-us-fallin-in-love-lyrics/', '2010')
('http://www.songlyrics.com/jay-z/empire-state-of-mind-lyrics/', '2010')
('http://www.songlyrics.com/iyaz/replay-lyrics/', '2010')
('http://www.songlyrics.com/david-guetta/sexy-bitch-lyrics/', '2010')
('http://www.songlyrics.com/eminem/not-afraid-lyrics/', '2010')
('http://www.songlyrics.com/keha/your-love-is-my-drug-lyrics/', '2010')
('http://www.songlyrics.com/the-script/breakeven-lyrics/', '2010')
('http://www.songlyrics.com/black-eyed-peas/i-gotta-feeling-lyrics/', '2010')
('http://www.songlyrics.com/owl-city/fireflies-lyrics/', '2010')
('http://www.songlyrics.com/drake/find-your-love-lyrics/', '2010')
('http://www.songlyrics.com/jason-derulo/ridin-solo-lyrics/', '2010')
('http://www.songlyrics.com/ludacris/how-low-lyrics/', '2010')
('http://www.songlyrics.com/timbaland/carry-out-lyrics/', '2010')
('http://www.songlyrics.com/flo-rida/club-can-t-handle-me-lyrics/', '2010')
('http://www.songlyrics.com/trey-songz/say-aah-lyrics/', '2010')
('http://www.songlyrics.com/lady-gaga/alejandro-lyrics/', '2010')
('http://www.songlyrics.com/nelly/just-a-dream-lyrics/', '2010')
('http://www.songlyrics.com/far-east-movement/like-a-g6-single-lyrics/', '2010')
('http://www.songlyrics.com/michael-buble/haven-t-met-you-yet-lyrics/', '2010')
('http://www.songlyrics.com/la-roux/bulletproof-lyrics/', '2010')
('http://www.songlyrics.com/jay-sean/down-lyrics/', '2010')
('http://www.songlyrics.com/justin-bieber/baby-lyrics/', '2010')
('http://www.songlyrics.com/jason-derulo/whatcha-say-lyrics/', '2010')
('http://www.songlyrics.com/taylor-swift/mine-lyrics/', '2010')
('http://www.songlyrics.com/adam-lambert/whataya-want-from-me-lyrics/', '2010')
('http://www.songlyrics.com/kris-allen/live-like-we-re-dying-lyrics/', '2010')
('http://www.songlyrics.com/rihanna/only-girl-in-the-world-single-lyrics/', '2010')
('http://www.songlyrics.com/jay-z/young-forever-lyrics/', '2010')
('http://www.songlyrics.com/rihanna/hard-lyrics/', '2010')
('http://www.songlyrics.com/drake/over-lyrics/', '2010')
('http://www.songlyrics.com/taylor-swift/you-belong-with-me-lyrics/', '2010')
('http://www.songlyrics.com/onerepublic/all-the-right-moves-lyrics/', '2010')
('http://www.songlyrics.com/keha/blah-blah-blah-lyrics/', '2010')
('http://www.songlyrics.com/the-black-eyed-peas/meet-me-halfway-lyrics/', '2010')
('http://www.songlyrics.com/orianthi/according-to-you-lyrics/', '2010')
('http://www.songlyrics.com/trey-songz/bottoms-up-lyrics/', '2010')
('http://www.songlyrics.com/keha/take-it-off-lyrics/', '2010')
('http://www.songlyrics.com/ludacris/my-chick-bad-remix-lyrics/', '2010')
('http://www.songlyrics.com/jay-sean/do-you-remember-lyrics/', '2010')
('http://www.songlyrics.com/b-o-b/magic-lyrics/', '2010')
('http://www.songlyrics.com/nicki-minaj/your-love-lyrics/', '2010')
('http://www.songlyrics.com/britney-spears/3-lyrics/', '2010')
('http://www.songlyrics.com/shontelle/impossible-lyrics/', '2010')
('http://www.songlyrics.com/maroon-5/misery-lyrics/', '2010')
('http://www.songlyrics.com/new-boyz/tie-me-down-lyrics/', '2010')
('http://www.songlyrics.com/chris-brown/deuces-lyrics/', '2010')
('http://www.songlyrics.com/neon-trees/animal-lyrics/', '2010')
('http://www.songlyrics.com/lady-gaga/paparazzi-lyrics/', '2010')
('http://www.songlyrics.com/miley-cyrus/party-in-the-usa-lyrics/', '2010')
('http://www.songlyrics.com/boys-like-girls/two-is-better-than-one-lyrics/', '2010')
('http://www.songlyrics.com/kelly-clarkson/already-gone-lyrics/', '2010')
('http://www.songlyrics.com/onerepublic/secrets-lyrics/', '2010')
('http://www.songlyrics.com/dj-khaled/all-i-do-is-win-remix-lyrics/', '2010')
('http://www.songlyrics.com/kevin-rudolf/i-made-it-cash-money-heroes-lyrics/', '2010')
('http://www.songlyrics.com/drake/forever-lyrics/', '2010')
('http://www.songlyrics.com/3oh!3/my-first-kiss-lyrics/', '2010')
('http://www.songlyrics.com/the-black-eyed-peas/rock-that-body-lyrics/', '2010')
('http://www.songlyrics.com/selena-gomez-the-scene/naturally-lyrics/', '2010')
('http://www.songlyrics.com/alicia-keys/unthinkable-i-m-ready-lyrics/', '2010')
('http://www.songlyrics.com/taylor-swift/today-was-a-fairytale-lyrics/', '2010')
('http://www.songlyrics.com/sugarland/stuck-like-glue-lyrics/', '2010')
('http://www.songlyrics.com/usher/hey-daddy-daddy-s-home-lyrics/', '2010')
('http://www.songlyrics.com/usher/there-goes-my-baby-lyrics/', '2010')
('http://www.songlyrics.com/beyonce-knowles/sweet-dreams-lyrics/', '2010')
('http://www.songlyrics.com/timbaland/say-something-lyrics/', '2010')
('http://www.songlyrics.com/sean-kingston/eenie-meenie-with-justin-bieber-lyrics/', '2010')
('http://www.songlyrics.com/lil-wayne/right-above-it-lyrics/', '2010')
('http://www.songlyrics.com/kings-of-leon/use-somebody-lyrics/', '2010')
('http://www.songlyrics.com/carrie-underwood/undo-it-lyrics/', '2010')
('http://www.songlyrics.com/the-band-perry/if-i-die-young-lyrics/', '2010')
('http://www.songlyrics.com/lady-antebellum/american-honey-lyrics/', '2010')
('http://www.songlyrics.com/sara-bareilles/king-of-anything-lyrics/', '2010')
('http://www.songlyrics.com/miranda-lambert/the-house-that-built-me-lyrics/', '2010')
('http://www.songlyrics.com/paramore/the-only-exception-lyrics/', '2010')
('http://www.songlyrics.com/uncle-kracker/smile-lyrics/', '2010')
('http://www.songlyrics.com/jerrod-niemann/lover-lover-lyrics/', '2010')
('http://www.songlyrics.com/daughtry/life-after-you-lyrics/', '2010')
('http://www.songlyrics.com/cali-swag-district/teach-me-how-to-dougie-clean-version-lyrics/', '2010')
('http://www.songlyrics.com/alicia-keys/try-sleeping-with-a-broken-heart-lyrics/', '2010')
('http://www.songlyrics.com/the-black-eyed-peas/boom-boom-pow-lyrics/', '2009')
('http://www.songlyrics.com/lady-gaga/just-dance-lyrics/', '2009')
('http://www.songlyrics.com/lady-gaga/poker-face-lyrics/', '2009')
('http://www.songlyrics.com/taylor-swift/love-story-lyrics/', '2009')
('http://www.songlyrics.com/flo-rida/right-round-lyrics/', '2009')
('http://www.songlyrics.com/black-eyed-peas/i-gotta-feeling-lyrics/', '2009')
('http://www.songlyrics.com/beyonce-knowles/single-ladies-put-a-ring-on-it-lyrics/', '2009')
('http://www.songlyrics.com/kanye-west/heartless-lyrics/', '2009')
('http://www.songlyrics.com/the-all-american-rejects/gives-you-hell-lyrics/', '2009')
('http://www.songlyrics.com/jason-mraz/i-m-yours-lyrics/', '2009')
('http://www.songlyrics.com/the-fray/you-found-me-lyrics/', '2009')
('http://www.songlyrics.com/t-i/dead-and-gone-lyrics/', '2009')
('http://www.songlyrics.com/kings-of-leon/use-somebody-lyrics/', '2009')
('http://www.songlyrics.com/taylor-swift/you-belong-with-me-lyrics/', '2009')
('http://www.songlyrics.com/keri-hilson/knock-you-down-lyrics/', '2009')
('http://www.songlyrics.com/t-i/live-your-life-lyrics/', '2009')
('http://www.songlyrics.com/jay-sean/down-lyrics/', '2009')
('http://www.songlyrics.com/soulja-boy-tell-em/kiss-me-thru-the-phone-lyrics/', '2009')
('http://www.songlyrics.com/pitbull/i-know-you-want-me-calle-ocho-lyrics/', '2009')
('http://www.songlyrics.com/jamie-foxx/blame-it-lyrics/', '2009')
('http://www.songlyrics.com/kelly-clarkson/my-life-would-suck-without-you-lyrics/', '2009')
